No,Tahun,Daerah,ID,CHT-A,CHT-R,KFD,IKFD,Kode Kategori,Kode Kategori
207,2017,Kab. Wonosobo,991354,12.843.524.648,12.843.524.648,468.871.573.176,"0,996",Sedang,3
208,2017,Kota Magelang,991485,6.097.809.985,6.097.809.985,353.903.759.593,"0,752",Sedang,3
209,2017,Kota Pekalongan,991464,7.252.474.826,7.252.474.826,360.182.928.570,"0,765",Sedang,3
210,2017,Kota Salatiga,991450,6.008.310.667,6.008.310.667,272.208.509.993,"0,579",Rendah,2
211,2017,Kota Semarang,991443,7.978.492.096,7.978.492.096,1.644.151.347.398,"3,494",Sangat Tinggi,5
212,2017,Kota Surakarta,991492,6.596.872.572,6.596.872.572,587.782.615.325,"1,249",Tinggi,4
213,2017,Kota Tegal,991471,6.004.179.438,6.004.179.438,408.462.777.863,"0,868",Sedang,3
214,2017,Provinsi DI Yogyakarta,991507,5.950.007.720,5.950.007.720,1.676.499.971.298,"0,513",Rendah,2
215,2017,Kab. Bantul,991511,4.288.068.652,4.288.068.652,686.068.544.000,"1,458",Tinggi,4
216,2017,Kab. Gunung Kidul,991532,1.779.834.589,1.779.834.589,279.176.799.028,"0,593",Rendah,2
217,2017,Kab. Kulon Progo,991549,2.199.159.398,2.199.159.398,343.279.229.451,"0,73",Sedang,3
218,2017,Kab. Sleman,991528,4.120.145.614,4.120.145.614,849.041.836.060,"1,804",Tinggi,4
219,2017,Kota Yogyakarta,991553,1.496.142.095,1.496.142.095,535.557.651.243,"1,138",Sedang,3
220,2017,Provinsi Jawa Timur,991560,459.652.382.202,459.652.382.202,10.273.738.283.775,"3,144",Sangat Tinggi,5
221,2017,Kab. Bangkalan,991642,13.528.512.853,13.528.512.853,396.310.123.312,"0,842",Sedang,3
222,2017,Kab. Banyuwangi,991670,15.432.820.397,15.432.820.397,994.552.416.686,"2,114",Sangat Tinggi,5
223,2017,Kab. Blitar,991773,16.983.680.376,16.983.680.376,720.663.571.298,"1,532",Tinggi,4
224,2017,Kab. Bojonegoro,991837,34.570.811.426,34.570.811.426,1.303.543.786.528,"2,77",Sangat Tinggi,5
225,2017,Kab. Bondowoso,991659,26.543.479.644,26.543.479.644,678.699.131.836,"1,442",Tinggi,4
226,2017,Kab. Gresik,991574,13.492.385.160,13.492.385.160,1.192.939.894.527,"2,535",Sangat Tinggi,5
227,2017,Kab. Jember,991684,63.110.369.088,63.110.369.088,1.014.804.991.159,"2,157",Sangat Tinggi,5
228,2017,Kab. Jombang,991600,29.636.680.976,29.636.680.976,815.173.298.030,"1,732",Tinggi,4
229,2017,Kab. Kediri,991731,34.548.385.521,34.548.385.521,758.521.149.400,"1,612",Tinggi,4
230,2017,Kab. Lamongan,991858,33.078.890.457,33.078.890.457,923.250.876.142,"1,962",Tinggi,4
231,2017,Kab. Lumajang,991727,18.759.459.051,18.759.459.051,549.182.544.361,"1,167",Tinggi,4
232,2017,Kab. Madiun,991780,13.961.931.890,13.961.931.890,498.019.041.387,"1,058",Sedang,3
233,2017,Kab. Magetan,991802,14.139.351.289,14.139.351.289,398.042.585.939,"0,846",Sedang,3
234,2017,Kab. Malang,991691,68.129.125.203,68.129.125.203,1.277.213.359.001,"2,714",Sangat Tinggi,5
235,2017,Kab. Mojokerto,991581,14.086.130.468,14.086.130.468,826.089.510.573,"1,756",Tinggi,4
236,2017,Kab. Nganjuk,991752,18.296.441.169,18.296.441.169,647.518.642.445,"1,376",Tinggi,4
237,2017,Kab. Ngawi,991794,19.375.898.871,19.375.898.871,614.128.316.980,"1,305",Tinggi,4
238,2017,Kab. Pacitan,991820,13.699.638.754,13.699.638.754,287.210.484.645,"0,61",Rendah,2
239,2017,Kab. Pamekasan,991621,42.384.875.626,42.384.875.626,573.104.418.808,"1,218",Tinggi,4
240,2017,Kab. Pasuruan,991706,177.580.234.046,177.580.234.046,734.033.145.676,"1,56",Tinggi,4
241,2017,Kab. Ponorogo,991816,15.137.409.826,15.137.409.826,472.676.693.006,"1,005",Sedang,3
242,2017,Kab. Probolinggo,991710,48.097.834.661,48.097.834.661,631.740.148.882,"1,343",Tinggi,4
243,2017,Kab. Sampang,991617,17.991.405.449,17.991.405.449,730.295.583.755,"1,552",Tinggi,4
244,2017,Kab. Sidoarjo,991595,13.510.220.372,13.510.220.372,1.696.683.568.542,"3,606",Sangat Tinggi,5
245,2017,Kab. Situbondo,991663,26.196.465.709,26.196.465.709,519.338.724.761,"1,104",Sedang,3
246,2017,Kab. Sumenep,991638,32.398.193.648,32.398.193.648,560.218.637.720,"1,191",Tinggi,4
247,2017,Kab. Trenggalek,991769,13.615.466.861,13.615.466.861,473.461.247.885,"1,006",Sedang,3
248,2017,Kab. Tuban,991841,17.862.437.420,17.862.437.420,536.468.807.402,"1,14",Tinggi,4
249,2017,Kab. Tulungagung,991748,17.951.036.502,17.951.036.502,870.442.443.511,"1,85",Tinggi,4
250,2017,Kota Blitar,991912,14.087.316.621,14.087.316.621,340.206.645.449,"0,723",Rendah,2
251,2017,Kota Kediri,991926,57.868.503.689,57.868.503.689,456.045.886.965,"0,969",Sedang,3
252,2017,Kota Madiun,991930,13.308.934.159,13.308.934.159,388.073.520.148,"0,825",Sedang,3
253,2017,Kota Malang,991883,27.026.228.382,27.026.228.382,726.740.788.842,"1,545",Tinggi,4
254,2017,Kota Mojokerto,991879,13.928.923.952,13.928.923.952,343.341.423.061,"0,73",Sedang,3
255,2017,Kota Pasuruan,991890,13.332.209.282,13.332.209.282,318.014.083.342,"0,676",Rendah,2
256,2017,Kota Probolinggo,991905,13.399.239.758,13.399.239.758,310.094.609.074,"0,659",Rendah,2
