id_pemda,nama_pemda,apbd_pra,apbd_pasca,trd_pra,trd_pasca,pad_pra,pad_pasca,totbl_covid,pad_transfer_pra,pad_transfer_pasca,pad_apbd_pra,pad_apbd_pasca
991553,"Kota Yogyakarta",2.04E+12,1.71E+12,1.00E+12,8.87E+11,6.72E+11,4.52E+11,0,0.671155557,0.509328476,0.329420666,0.264742902
991560,"Provinsi Jawa Timur",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
991642,"Kab. Bangkalan",2.38E+12,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
991670,"Kab. Banyuwangi",0,2.60E+12,2.34E+12,2.09E+12,3.00E+11,1.50E+11,0,0.128312298,0.071909283,#DIV/0!,0.057706367
991773,"Kab. Blitar",2.57E+12,2.32E+12,1.87E+12,1.72E+12,2.64E+11,2.25E+11,1.07E+11,0.140633591,0.130878471,0.102515503,0.096979568
991837,"Kab. Bojonegoro",6.40E+12,5.47E+12,3.02E+12,2.45E+12,8.43E+11,6.74E+11,1.04E+11,0.279412442,0.275388073,0.131670581,0.123315694
991659,"Kab. Bondowoso",2.20E+12,1.97E+12,1.68E+12,1.48E+12,2.33E+11,2.01E+11,49394438400,0.138700496,0.135632833,0.106006125,0.101567098
991574,"Kab. Gresik",3.57E+12,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
991684,"Kab. Jember",4.55E+12,4.36E+12,2.79E+12,2.79E+12,7.50E+11,7.50E+11,4.78E+11,0.268458036,0.268458036,0.164726912,0.171935389
991600,"Kab. Jombang",2.88E+12,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
991731,"Kab. Kediri",3.42E+12,2.95E+12,2.20E+12,2.00E+12,4.25E+11,3.96E+11,2.03E+11,0.193356015,0.198088228,0.124409497,0.13405103
991858,"Kab. Lamongan",3.11E+12,2.92E+12,2.49E+12,2.36E+12,5.54E+11,5.19E+11,2.00E+11,0.222354969,0.220396643,0.178547337,0.178174776
991727,"Kab. Lumajang",2.43E+12,2.05E+12,1.66E+12,1.49E+12,3.21E+11,2.58E+11,0,0.192821951,0.173617997,0.13215928,0.125952164
991780,"Kab. Madiun",1.99E+12,1.71E+12,1.69E+12,1.48E+12,2.19E+11,1.87E+11,20699862436,0.129587966,0.126300466,0.110444,0.10951663
991802,"Kab. Magetan",1.91E+12,1.53E+12,1.52E+12,1.35E+12,2.23E+11,2.07E+11,1.49E+11,0.146465057,0.153352588,0.116710472,0.135496807
991691,"Kab. Malang",4.42E+12,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
991581,"Kab. Mojokerto",2.60E+12,2.35E+12,1.74E+12,1.57E+12,5.42E+11,4.77E+11,31810767689,0.312106053,0.303848277,0.208346612,0.202975628
991752,"Kab. Nganjuk",2.59E+12,2.42E+12,2.01E+12,1.93E+12,3.67E+11,3.04E+11,89713254000,0.182758842,0.157656054,0.141597234,0.12593423
991794,"Kab. Ngawi",2.34E+12,2.17E+12,1.77E+12,1.63E+12,2.38E+11,2.17E+11,12500000000,0.134728099,0.133101173,0.102051261,0.099787748
991820,"Kab. Pacitan",1.72E+12,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
991621,"Kab. Pamekasan",2.37E+12,1.62E+12,1.50E+12,1.35E+12,1.84E+11,1.76E+11,64765920500,0.122974416,0.130259145,0.077704526,0.108613491
991706,"Kab. Pasuruan",3.84E+12,3.36E+12,2.03E+12,1.70E+12,7.31E+11,6.26E+11,1.75E+11,0.360847223,0.36805904,0.190223912,0.185983766
991816,"Kab. Ponorogo",2.44E+12,1.90E+12,2.00E+12,1.80E+12,2.95E+11,2.87E+11,3.10E+11,0.147215619,0.159930789,0.12099657,0.151090071
991710,"Kab. Probolinggo",2.51E+12,2.24E+12,1.51E+12,1.32E+12,2.45E+11,2.35E+11,1.06E+11,0.161854968,0.177576384,0.09758993,0.104743327
991617,"Kab. Sampang",1.95E+12,1.40E+12,1.51E+12,1.34E+12,1.99E+11,1.73E+11,1.50E+11,0.131857578,0.129114491,0.101808048,0.12343369
991595,"Kab. Sidoarjo",5.38E+12,4.85E+12,2.20E+12,2.02E+12,1.81E+12,1.65E+12,1.14E+11,0.824162792,0.814246597,0.336488004,0.339247971
991663,"Kab. Situbondo",1.84E+12,1.89E+12,1.61E+12,1.61E+12,1.97E+11,1.97E+11,0,0.122703712,0.122703712,0.107004549,0.104091429
991638,"Kab. Sumenep",2.75E+12,2.22E+12,2.00E+12,1.83E+12,2.67E+11,2.18E+11,3.65E+11,0.133500143,0.118807898,0.097096106,0.098088024
991769,"Kab. Trenggalek",2.08E+12,1.61E+12,1.51E+12,1.34E+12,3.03E+11,2.14E+11,1.56E+11,0.200563233,0.159106111,0.145295894,0.132676209
991841,"Kab. Tuban",2.70E+12,2.26E+12,1.85E+12,1.70E+12,5.65E+11,4.60E+11,2.41E+11,0.305921721,0.270099517,0.209341382,0.20338215
991748,"Kab. Tulungagung",2.76E+12,2.27E+12,1.94E+12,1.73E+12,4.47E+11,4.13E+11,4.11E+11,0.23065392,0.238151766,0.161606829,0.18155615
991912,"Kota Blitar",1.03E+12,8.48E+11,6.04E+11,5.29E+11,1.74E+11,1.08E+11,74834265785,0.287985351,0.204638886,0.169734103,0.12765217
991926,"Kota Kediri",1.42E+12,1.27E+12,9.31E+11,8.09E+11,2.51E+11,2.11E+11,77617254410,0.269951671,0.260537677,0.176384968,0.166404611
991930,"Kota Madiun",1.28E+12,1.16E+12,6.71E+11,6.13E+11,2.36E+11,2.18E+11,20488148600,0.350753733,0.356074543,0.184252707,0.188465233
991883,"Kota Malang",2.77E+12,1.78E+12,1.28E+12,1.13E+12,7.31E+11,3.65E+11,58672491050,0.57337051,0.322537022,0.263559515,0.204861845
991879,"Kota Mojokerto",1.01E+12,9.36E+11,5.61E+11,5.10E+11,2.06E+11,1.90E+11,72477058490,0.36713171,0.371693864,0.202992921,0.202560099
991890,"Kota Pasuruan",1.09E+12,0,0,0,0,0,0,#DIV/0!,#DIV/0!,0,#DIV/0!
991905,"Kota Probolinggo",1.18E+12,1.01E+12,7.40E+11,6.49E+11,2.01E+11,1.98E+11,13273505886,0.271515901,0.304663993,0.170632978,0.195700717
